date,open,high,low,close,volume
2026-03-26,4508.81,4544.57,4351.3,4378.39,678100.0
2026-03-27,4388.32,4555.23,4375.62,4495.56,506142.0
2026-03-30,4492.9,4580.68,4419.45,4511.03,562775.0
2026-03-31,4512.9,4687.24,4482.55,4667.3,582296.0
2026-04-01,4673.19,4793.1,4662.03,4758.1,503351.0
2026-04-02,4754.94,4800.5,4553.8,4676.08,616850.0
2026-04-06,4665.65,4706.71,4600.75,4650.62,422704.0
2026-04-07,4651.41,4718.65,4607.56,4705.5,542154.0
2026-04-08,4720.23,4857.74,4699.58,4719.17,541704.0
2026-04-09,4719.43,4801.08,4698.54,4765.57,451323.0
2026-04-10,4765.6,4795.04,4730.85,4749.34,399853.0
2026-04-13,4688.39,4750.13,4632.91,4740.32,443775.0
2026-04-14,4743.69,4846.44,4743.69,4841.92,394900.0
2026-04-15,4840.23,4871.31,4786.23,4790.75,403886.0
2026-04-16,4791.43,4838.48,4773.03,4790.8,387319.0
2026-04-17,4792.66,4890.51,4767.84,4834.61,416252.0
2026-04-20,4792.89,4827.76,4736.8,4820.68,423387.0
2026-04-21,4824.36,4833.41,4668.36,4720.2,470565.0
2026-04-22,4721.21,4772.37,4715.58,4740.38,373373.0
2026-04-23,4740.73,4753.69,4664.32,4694.56,503798.0
2026-04-24,4697.56,4740.44,4657.88,4708.26,438848.0
2026-04-27,4699.31,4729.97,4667.17,4681.8,370022.0
2026-04-28,4683.4,4701.33,4554.99,4597.13,478998.0
2026-04-29,4596.68,4610.33,4510.2,4543.49,497708.0
2026-04-30,4543.84,4647.11,4539.42,4621.79,465170.0
2026-05-01,4626.13,4660.38,4560.11,4616.23,360348.0
2026-05-04,4632.53,4638.03,4500.91,4523.82,461573.0
2026-05-05,4524.97,4586.63,4513.57,4557.56,319962.0
2026-05-06,4560.47,4723.06,4546.31,4690.91,436975.0
2026-05-07,4692.2,4764.77,4685.33,4687.2,482453.0
2026-05-08,4680.52,4749.56,4677.58,4715.27,384592.0
2026-05-11,4682.58,4748.54,4648.12,4734.78,402624.0
2026-05-12,4734.95,4773.6,4638.37,4715.26,450024.0
2026-05-13,4715.79,4726.83,4669.55,4688.78,394721.0
2026-05-14,4692.54,4718.79,4644.37,4652.39,419422.0
2026-05-15,4652.11,4665.28,4511.65,4538.42,582162.0
2026-05-18,4528.89,4584.23,4480.55,4566.16,555299.0
2026-05-19,4563.71,4589.39,4464.89,4482.06,448587.0
2026-05-20,4482.79,4553.04,4453.61,4543.71,491223.0
2026-05-21,4539.95,4570.71,4488.75,4543.17,519827.0
2026-05-22,4542.34,4546.16,4491.71,4507.13,412976.0
2026-05-25,4530.5,4579.95,4530.5,4570.93,274520.0
2026-05-26,4568.6,4580.37,4482.61,4507.59,395761.0
2026-05-27,4502.03,4538.61,4401.47,4456.36,420229.0
2026-05-28,4455.59,4516.54,4366.37,4495.78,453937.0
2026-05-29,4497.75,4595.32,4489.11,4539.9,387260.0
2026-06-01,4530.28,4546.02,4447.76,4484.78,356791.0
2026-06-02,4485.03,4541.6,4463.07,4487.94,321889.0
2026-06-03,4489.25,4496.7,4426.45,4434.4,364029.0
2026-06-04,4434.75,4515.4,4424.02,4475.4,380676.0
2026-06-05,4476.16,4481.55,4311.79,4327.74,476757.0
2026-06-08,4327.18,4353.39,4268.36,4329.87,529132.0
