report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2021-03-02T00:00:00.000,467008,265533,75895,94844,317047,2021-03-02
2021-03-09T00:00:00.000,473871,254839,79676,104656,312536,2021-03-09
2021-03-16T00:00:00.000,476467,256237,76041,115396,324871,2021-03-16
2021-03-23T00:00:00.000,485457,262774,88707,116781,318584,2021-03-23
2021-03-30T00:00:00.000,467321,263453,95925,112072,305798,2021-03-30
2021-04-06T00:00:00.000,463353,275703,86194,98196,312995,2021-04-06
2021-04-13T00:00:00.000,460733,269513,88639,100227,309015,2021-04-13
2021-04-20T00:00:00.000,471738,275985,94487,100905,314098,2021-04-20
2021-04-27T00:00:00.000,473305,270717,100098,103732,310909,2021-04-27
2021-05-04T00:00:00.000,470341,270194,99453,103961,305884,2021-05-04
2021-05-11T00:00:00.000,498693,282161,89906,111751,338835,2021-05-11
2021-05-18T00:00:00.000,520410,290267,91378,121839,354740,2021-05-18
2021-05-25T00:00:00.000,510164,288266,73624,111024,361893,2021-05-25
2021-06-01T00:00:00.000,489198,288826,75125,102986,351161,2021-06-01
2021-06-08T00:00:00.000,491858,288781,79394,103496,348302,2021-06-08
2021-06-15T00:00:00.000,480127,273947,81911,106323,337549,2021-06-15
2021-06-22T00:00:00.000,453940,253153,86939,105830,308212,2021-06-22
2021-06-29T00:00:00.000,453360,254206,91980,107398,302518,2021-06-29
2021-07-06T00:00:00.000,465811,270545,87724,107675,322401,2021-07-06
2021-07-13T00:00:00.000,495798,275543,84707,112439,333467,2021-07-13
2021-07-20T00:00:00.000,490520,277312,81340,123541,352089,2021-07-20
2021-07-27T00:00:00.000,500187,273688,74300,116498,345312,2021-07-27
2021-08-03T00:00:00.000,485663,273143,76808,121349,352633,2021-08-03
2021-08-10T00:00:00.000,477232,277260,108854,124720,320361,2021-08-10
2021-08-17T00:00:00.000,485485,284437,92895,123301,337301,2021-08-17
2021-08-24T00:00:00.000,504735,299084,88431,123101,357779,2021-08-24
2021-08-31T00:00:00.000,507113,311004,94454,119896,360408,2021-08-31
2021-09-07T00:00:00.000,506772,306017,99978,119906,355714,2021-09-07
2021-09-14T00:00:00.000,506356,306988,99228,119152,353403,2021-09-14
2021-09-21T00:00:00.000,492765,296670,109023,119307,331951,2021-09-21
2021-09-28T00:00:00.000,490858,293814,125415,124073,314224,2021-09-28
2021-10-05T00:00:00.000,483789,295939,113357,114229,317931,2021-10-05
2021-10-12T00:00:00.000,484382,298503,112964,110697,318311,2021-10-12
2021-10-19T00:00:00.000,485974,299882,106533,107128,326318,2021-10-19
2021-10-26T00:00:00.000,509794,313646,99086,103423,343077,2021-10-26
2021-11-02T00:00:00.000,507616,311091,95962,100692,340569,2021-11-02
2021-11-09T00:00:00.000,571025,341111,90930,105197,380686,2021-11-09
2021-11-16T00:00:00.000,612612,360529,100749,125758,413297,2021-11-16
2021-11-23T00:00:00.000,559823,326409,91998,121027,388861,2021-11-23
2021-11-30T00:00:00.000,531868,310253,84393,119562,378165,2021-11-30
2021-12-07T00:00:00.000,499307,300518,83333,103942,349565,2021-12-07
2021-12-14T00:00:00.000,503709,298142,95741,107421,338832,2021-12-14
2021-12-21T00:00:00.000,500846,296628,90817,104997,341026,2021-12-21
2021-12-28T00:00:00.000,508912,303879,90723,103172,348836,2021-12-28
2022-01-04T00:00:00.000,502717,296583,85228,104258,341716,2022-01-04
2022-01-11T00:00:00.000,546516,290102,90365,116292,341365,2022-01-11
2022-01-18T00:00:00.000,539204,290528,96321,132764,353832,2022-01-18
2022-01-25T00:00:00.000,572078,313415,93264,130208,379954,2022-01-25
2022-02-01T00:00:00.000,515331,275994,103852,127633,328975,2022-02-01
2022-02-08T00:00:00.000,512842,279559,92853,126328,337762,2022-02-08
2022-02-15T00:00:00.000,558645,313269,99656,126837,365712,2022-02-15
2022-02-22T00:00:00.000,611488,350096,106948,129682,399404,2022-02-22
2022-03-01T00:00:00.000,615600,354177,96555,127231,413040,2022-03-01
2022-03-08T00:00:00.000,638502,364618,90230,139397,446343,2022-03-08
2022-03-15T00:00:00.000,617605,346731,84943,151045,448486,2022-03-15
2022-03-22T00:00:00.000,605191,328660,80628,155039,436634,2022-03-22
2022-03-29T00:00:00.000,574521,327632,70036,133050,418987,2022-03-29
2022-04-05T00:00:00.000,560666,324570,79029,124506,403264,2022-04-05
2022-04-12T00:00:00.000,577639,338164,83877,125627,413720,2022-04-12
2022-04-19T00:00:00.000,575202,330745,90988,129157,404682,2022-04-19
2022-04-26T00:00:00.000,557785,310511,92487,127546,376840,2022-04-26
2022-05-03T00:00:00.000,560441,293439,94271,130795,362647,2022-05-03
2022-05-10T00:00:00.000,571447,288947,95632,132251,360007,2022-05-10
2022-05-17T00:00:00.000,555756,283011,107651,137687,344566,2022-05-17
2022-05-24T00:00:00.000,530098,282202,98389,130364,342311,2022-05-24
2022-05-31T00:00:00.000,513722,269459,96870,135360,335416,2022-05-31
2022-06-07T00:00:00.000,494130,270356,95088,116965,316851,2022-06-07
2022-06-14T00:00:00.000,497456,266596,111998,121926,300495,2022-06-14
2022-06-21T00:00:00.000,500276,268119,104832,120045,306974,2022-06-21
2022-06-28T00:00:00.000,497005,268712,111019,117038,299045,2022-06-28
2022-07-05T00:00:00.000,498210,267806,122146,118289,283874,2022-07-05
2022-07-12T00:00:00.000,542493,251126,133005,131170,268958,2022-07-12
2022-07-19T00:00:00.000,524786,241004,146049,152103,264365,2022-07-19
2022-07-26T00:00:00.000,487515,241661,148971,142007,250429,2022-07-26
2022-08-02T00:00:00.000,459649,242128,117802,127700,263265,2022-08-02
2022-08-09T00:00:00.000,453540,242906,100055,121980,276534,2022-08-09
2022-08-16T00:00:00.000,453960,238196,97032,122566,276275,2022-08-16
2022-08-23T00:00:00.000,457762,237427,111580,126193,264265,2022-08-23
2022-08-30T00:00:00.000,459165,235314,117580,126535,256214,2022-08-30
2022-09-06T00:00:00.000,465908,231527,127670,129683,243747,2022-09-06
2022-09-13T00:00:00.000,463674,225932,128588,126950,237888,2022-09-13
2022-09-20T00:00:00.000,469395,214557,148835,141862,217290,2022-09-20
2022-09-27T00:00:00.000,457061,207154,155073,139361,201499,2022-09-27
2022-10-04T00:00:00.000,437065,215964,127579,116451,212999,2022-10-04
2022-10-11T00:00:00.000,431395,212561,118141,112867,216595,2022-10-11
2022-10-18T00:00:00.000,434701,210890,133934,115073,205103,2022-10-18
2022-10-25T00:00:00.000,456072,212853,144821,123085,203298,2022-10-25
2022-11-01T00:00:00.000,467276,216341,151718,125689,200471,2022-11-01
2022-11-08T00:00:00.000,488471,223135,140797,126187,217331,2022-11-08
2022-11-15T00:00:00.000,495171,227282,101013,135035,269343,2022-11-15
2022-11-22T00:00:00.000,449542,214284,98171,133754,263818,2022-11-22
2022-11-29T00:00:00.000,433661,209161,99158,134184,253417,2022-11-29
2022-12-06T00:00:00.000,422100,211472,96347,117578,247657,2022-12-06
2022-12-13T00:00:00.000,437040,224409,98760,119908,258437,2022-12-13
2022-12-20T00:00:00.000,436653,226136,97288,116465,258979,2022-12-20
2022-12-27T00:00:00.000,440040,229525,92645,116744,270520,2022-12-27
